,Theta
104,0.020942956640448603
105,0.001432808801803216
106,-0.014212181635386772
107,0.02125129884374834
108,0.004167304668421483
109,0.0026261608744941093
110,-0.002137746404968523
111,-0.013547331502828499
112,-0.0028356669686350135
113,-0.17321237824275715
114,-0.040502380732037456
115,-0.0017753838802789885
116,0.01009944982568447
117,0.042571809395132894
118,7.07523502828819e-05
119,-0.013837304488353762
120,0.019622093748403173
121,-0.006068118961885948
122,-0.019465356762594033
123,-0.05957482662104938
124,0.07890670812220331
125,-0.0024025159232670163
126,-0.1485408316216767
127,-0.042516363064107936
128,1.3426319547391589e-05
129,0.030054653403739622
130,0.013229148789332932
131,-0.11907562179386745
132,-0.04928369751909255
133,-0.008548675562415816
134,0.020103618526141506
135,-0.0003200557047650409
136,-0.003293954789996462
137,0.022701596075443437
138,0.01856834513880971
139,0.009255876150236715
140,0.03372937130074725
141,0.004626222601149293
142,-0.00576675694485024
143,0.008913052667838033
144,0.024877433671841566
145,0.005540522180783378
146,0.0038591362323862058
147,0.00031882595956723986
148,-0.005303364729988115
149,-0.05049161348381
150,0.007765137804798567
151,0.01976529464328477
152,0.0072511350976362
153,0.045452651592959505
154,-0.020852384608140626
155,-0.002401517197964525
156,0.027020512445206844
157,0.0050074772316089115
158,0.008846599737043364
159,0.03451970878848314
160,0.002762791747380027
161,-0.017042030950042673
162,0.00926141725524241
163,-0.038872488497502744
164,0.00047907780096254017
165,0.0009550226983205686
166,-0.011970725157705281
167,-0.014391231222644584
168,-0.0010524671907849981
169,0.026045378764257242
170,0.009518176601405437
171,-0.05160164401125585
172,-0.024684343078071044
173,-0.010756584806611957
174,0.03645049618584585
175,-0.011078620130905078
176,0.0035741303786113315
177,-0.00519683754943458
178,-0.00941967395930892
179,0.013289647037383586
180,-0.00574124826612879
181,0.000691021572967207
182,-0.017670903736241007
183,-0.06699368248753951
184,-0.048557478479017244
185,-0.00036588401223356206
186,-0.006210620527153604
187,-0.0006027217100523666
188,0.007322215447118185
189,0.0005683361357223768
190,0.007595913375146398
191,0.0019371287186741868
192,0.0008493178523893404
193,-0.005327585813135641
194,-0.06232087804128542
195,-0.002108401931009936
196,-0.0014820400800321528
197,-0.0033242909184182296
198,-0.0035822442969208595
199,0.005006817687705271
200,-0.0010433182058210545
201,0.003012455693156913
202,0.04182334131883593
203,0.04887374314343043
204,0.016774564135492623
205,0.11105683042818035
206,0.0014041325442701838
207,0.010382754675774762
208,0.013691982595655232
209,0.012468111882358716
210,-0.010353581508475079
211,0.002372004735162757
212,-0.033453201246524865
213,0.005664862860381611
214,-0.019784875305968008
215,-0.04081399841973392
216,-0.004205208635041244
217,0.0009507855723074042
218,-0.006972031211053363
219,0.032267960361762126
220,0.0005002178770951106
221,-0.004058048666144664
222,-0.016205239706849256
223,0.0026002709125910006
224,0.004565529297671338
225,0.02823836082216166
226,0.0005540770038342126
227,0.002982634638727985
228,0.003822960331359928
229,-0.064505075598184
230,0.0018653256827616091
231,-0.0084287568189592
232,0.014133180475103993
233,-0.0069509623727396054
234,-0.03797051107842048
235,0.0010194232953048463
236,0.0004395476601496169
237,0.009639224845135087
238,0.01476408781581881
239,0.0032603515882525195
240,-0.041083981854702994
241,-0.005118238504595543
242,0.0027284760728534616
243,0.01834353817793635
244,0.0028095866011782684
245,-0.0030896110599938414
246,0.0027238943698492104
247,-0.05861411574484888
248,-0.0016323985657926928
249,0.03552272484974185
250,-0.021813975541287552
251,-0.3410525676934803
252,0.0058547296076534115
253,0.02322059589628979
254,-0.057403316259708924
255,-0.16318380488896048
256,-0.0028879123427597293
257,0.0027272030149246085
258,-0.0003030932636661746
259,-0.006594577758200887
260,0.001083975334603269
261,-0.02885232539200573
262,0.004122830073950602
263,0.0014410704065898616
264,-0.007096779855903855
265,0.015525789549308324
266,0.0033211308686693346
267,0.05484895256923992
268,-0.04392715102357168
269,0.0032708972539952875
270,-0.0007781789718716288
271,-0.03900220391791568
272,0.05609759317543579
273,-0.0030794209934910505
274,0.07896547274299509
275,-0.021119990206950996
276,-0.009934243523638161
277,-0.014477404859526734
278,0.0590687497313055
279,-0.038651085451491936
280,0.0008452650178236238
281,0.09022404474238974
282,0.0039183011713348846
283,0.01641844428149821
284,-0.0025553033899063074
285,0.001102762197918214
286,-0.0005825139171416155
287,0.0011212398978233847
288,0.0018070675524141848
289,-0.0033387843203376228
290,-0.007633268929708682
291,0.002321991710719791
292,0.0009144116654667385
293,-0.02165148274028623
294,0.013953542477232652
295,0.020325169023799158
296,0.015798899075026462
297,-0.014019185825885086
298,0.014367790952954599
299,-6.466605180469277e-05
300,0.00013820103641696996
301,0.0007044283618149693
302,0.04500298997265504
303,-0.0026534792719797675
304,0.004013709482064487
305,-0.0017028215972940102
306,0.012351560184909703
307,-0.003576843613055924
308,-0.004712082857033309
309,-0.052856628847496104
310,-0.026239368128872453
311,-0.004127992512027744
312,-0.03208896165530216
313,0.002201885396983838
314,0.0026788630610348908
315,0.00022787538402501954
316,0.05745143418837088
317,0.00970901294381263
318,0.00036616278160181166
319,0.02170286244531963
320,-0.0156243938355505
321,0.021326554163491353
322,0.016724040572497278
323,-0.018883446439953183
324,-0.002873646865120634
325,-0.018354804079644783
326,-0.04744681402301695
327,0.0016977681829644694
328,-0.03571709213813208
329,-0.01176327735356722
330,-0.008959840126952015
331,-0.01743052045001528
332,0.04002152159181707
333,-0.0003431441197468221
334,-0.0011618959686272188
335,0.0007867575993801144
336,-0.009724681128167776
337,0.001671204835006239
338,-0.07519218909087398
339,-0.0029531130599359
340,0.00604572676214627
341,-0.00848718373828871
342,0.000327576094756941
343,0.0005387655816737986
344,-0.03430131232667015
345,-0.014307379712370897
346,0.0027848024690109888
347,-0.014364730774169054
348,0.001585560945722525
349,-0.006985596745876417
350,-0.0024134380634145943
351,0.011493836745503819
352,-0.00132859298304578
353,0.0013172967746008085
354,-0.005817853597798142
355,-0.15383149582577618
356,0.0013589279063631753
357,-0.0006447781341029993
358,2.844930022338675e-05
359,0.0006065498810742694
360,0.002072444686593604
361,0.0018213866110208972
362,-0.00017276839021481766
363,-0.0027014225253208374
364,-0.0011305259925140107
365,0.0004436880864892036
366,0.0021302515859869947
367,0.0022231991301898844
368,-0.0060241080075405
369,0.00682324052624565
370,0.003159908310982641
371,-0.01268693092243112
372,0.0017236835635028717
373,0.002083447877175044
374,0.03296271593251105
375,9.797583210837253e-05
376,0.0019489441913499502
377,0.00019629854029231113
378,0.0004945502222869265
379,0.0009070043959113608
380,-1.579295096326404e-05
381,4.474643046050567e-05
382,-0.011072222849884794
383,-0.015109725245387734
384,0.008739571243105775
385,-0.011129947608070283
386,0.004427231467342457
387,0.011353655797051615
388,0.01031007022237427
389,0.01010043470492562
390,0.058708889207945834
391,0.1420920645117901
392,0.02866463295343876
393,0.07662342021031497
394,-0.0028923410454431077
395,0.04432348489758351
396,0.002003553932508915
397,0.0009335461373113971
398,-0.002292896315083106
399,0.004772599810211154
400,0.01098573889146746
401,-0.0027832591919419664
402,0.011468999995584619
403,0.014988471959672386
404,-0.041083848005133664
405,0.01341509910022028
406,0.01971378430022663
407,0.011086636844043166
408,0.012031932171405765
409,0.010395165285916188
410,0.0011337765331252431
411,0.06366325747824693
412,0.019040711726281235
413,-0.005372913219952808
414,0.01958542198986025
415,-0.00577618340075905
416,0.039152095039241726
417,-0.01920453321167213
418,-0.13122402785488047
419,0.001198284875782449
420,-0.028902125663450864
421,0.013578622182558397
422,0.009283988695658248
423,-0.029338484993815382
424,-0.026427931158266117
425,0.0008806817625542162
426,0.11264046070238051
427,0.054474250996605196
428,0.006403569445837723
429,0.017431044040268524
430,0.04011490836726079
431,0.031315024808676546
432,0.06135687161732977
433,0.0037582178340986616
434,0.01127261999173217
435,-0.0077304740851418426
436,0.002819762001958985
437,0.003300393811233849
438,0.05875926224203486
439,0.04249078815780215
440,0.02554898526984032
441,-0.04659614130925743
442,-0.11981380555341692
443,-0.008502691294290762
444,0.05648294192674275
445,0.07029347905814302
446,0.0025702717068303562
447,-0.04808105556538557
448,0.0014443046938323676
449,0.01487365144043159
450,0.030412073428680474
451,0.04163338616629188
452,-0.0002741423611368039
453,-0.007114117476311967
454,0.017769797819583273
455,0.01865382828128896
456,-0.05425680924244376
457,0.006874875969677071
458,0.005156284127699643
459,0.020235600283247553
460,0.0046756517211679225
461,0.03940357607319363
462,-0.019120604706515613
463,0.09018758925621219
464,0.0014908800504461277
465,0.004494341815846525
466,-0.005271578285309225
467,-0.013810258211982904
468,-0.09697734116281721
469,0.0035768293838256736
470,-0.003942273662247161
471,-0.11443872951267764
472,0.028343746645845592
473,-0.006029184585802959
474,0.012358126881223185
475,-0.014897070768345804
476,-0.006247715832491599
477,0.044271753113792514
478,0.0010167378944155767
479,0.0018088599371051978
480,0.014677807342935422
481,0.0029193831955651316
482,0.003708370356172182
483,-0.14499848704843102
484,-0.04273866909067216
485,-0.03220560096419737
486,0.11367217192563578
487,0.03161034391290819
488,-0.011597114987066951
489,-0.01849317282486056
490,0.0004582704481797331
491,0.024774389790573382
492,-0.017803796370439495
493,-0.034494540029650196
494,0.006736483905294814
495,-0.005210773365849012
496,0.031455127111502945
497,0.011792116354298299
498,-0.033770841640005156
499,-0.019645504181499567
500,-0.019359471890570416
501,0.021283279286900166
